"Ano base","UF","Classe Substância","Substância Mineral","Quantidade Produção - Minério ROM (t)","Quantidade Contido","Unidade de Medida - Contido","Indicação Contido","Quantidade Venda (t)","Valor Venda (R$)","Quantidade Transformação / Consumo / Utilização (t)","Valor Transformação / Consumo / Utilização nesta mina (R$)","Quantidade Transferência para Transformação / Utilização / Consumo (t)","Valor Transferência para Transformação / Utilização / Consumo (R$)"
"2010","MG","Não-Metálicos","Areia","4123619,340000",",000000000000000","-","","3499654,1700000004","42247894,709999993",",000000",",000000","2472,210000","32680,100000"
"2010","MG","Metálicos","Ouro","48182808,980000","31994,594910000000000","kg","Au","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Metálicos","Cádmio",",000000",",000000000000000","t","Cd","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Enxofre","382969,290000","13174,000000000000000","t","S","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Não-Metálicos","Rochas Ornamentais - Outras","16216,300000",",000000000000000","-","","15404,330000000002","2899293,5600000001",",000000",",000000","215,370000","62164,230000"
"2010","MG","Não-Metálicos","Rochas (Britadas) e Cascalho","15713610,559700",",000000000000000","-","","411275,65999999997","2172648,1600000001","21329,480000","104382,700000","182029,560000","1804031,640000"
"2010","MG","Não-Metálicos","Mica",",000000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MG","Energéticos","Turfa","330,000000",",000000000000000","-","","330","10900",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Rochas (Britadas) e Cascalho","4313113,230000",",000000000000000","-","","190651,51999999999","1192474,22",",000000",",000000","346416,310000","1553655,230000"
"2010","MS","Metálicos","Manganês","256027,000000","97290,000000000000000","t","Mn","0","0",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Argilas","476220,130000",",000000000000000","-","","93138,960000000006","669122,80000000005",",000000",",000000","59932,250000","694840,500000"
"2010","MS","Não-Metálicos","Saibro","187066,550000",",000000000000000","-","","186915,79000000001","591343,19000000006",",000000",",000000",",000000",",000000"
"2010","MS","Gemas e Diamantes","Diamante",",000000",",000000000000000","ct","","0","0",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Talco e outras Cargas Minerais","222070,680000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Dolomito e Magnesita","679322,960000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MS","Metálicos","Ferro","9983835,000000","6325305,760000000000000","t","Fe","0","0",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Calcário","2530487,460000",",000000000000000","-","","25385,970000000001","512030,48999999999",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Rochas Ornamentais",",000000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MS","Não-Metálicos","Areia","2386130,880000",",000000000000000","-","","1506586,0700000003","11483893,199999999",",000000",",000000","59,600000","696,050000"
"2010","MT","Não-Metálicos","Argilas","657582,900000",",000000000000000","-","","27455,849999999999","2291343,0800000001","54929,000000","1968391,600000","359882,330000","3386246,840000"
"2010","MT","Metálicos","Estanho","208549,000000","160000,000000000000000","kg","Sn","0","0",",000000",",000000",",000000",",000000"
"2010","MT","Não-Metálicos","Saibro","21070,000000",",000000000000000","-","","0","0","21070,000000","127024,000000",",000000",",000000"
"2010","MT","Metálicos","Ouro","9163769,360000","5035,504110000000000","kg","Au","0","0",",000000",",000000",",000000","1311539,950000"
"2010","MT","Gemas e Diamantes","Diamante","73500,000000","10800,000000000000000","ct","","57,829999999999998","11000",",000000",",000000",",000000",",000000"
"2010","MT","Não-Metálicos","Quartzo (Cristal) e outros Piezelétricos","27,700000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","MT","Não-Metálicos","Areia","694554,390000",",000000000000000","-","","659284,55000000005","8338182,7999999989",",000000",",000000",",000000",",000000"
"2010","MT","Metálicos","Zinco",",000000","755,250000000000000","t","Zn","0","0",",000000",",000000",",000000",",000000"
"2010","MT","Não-Metálicos","Rochas (Britadas) e Cascalho","3120580,890000",",000000000000000","-","","244840,78","4158417,8800000004","26159,400000","1706,480000","140268,000000","238747,200000"
"2010","MT","Não-Metálicos","Calcário","5326083,860000",",000000000000000","-","","73671","1416964,95",",000000",",000000",",000000",",000000"
"2010","MT","Não-Metálicos","Dolomito e Magnesita","774910,860000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","PA","Não-Metálicos","Caulim","5393439,990000",",000000000000000","-","","174585,70999999999","10013388",",000000",",000000",",000000",",000000"
"2010","PA","Não-Metálicos","Calcário","1660579,420000",",000000000000000","-","","1577917,03","25175395,34",",000000",",000000",",000000",",000000"
"2010","PA","Metálicos","Ferro","111349147,700000","74069139,990000000000000","t","Fe","0","0",",000000",",000000",",000000",",000000"
"2010","PA","Não-Metálicos","Areias Industriais","36605,240000",",000000000000000","-","","8226,2399999999998","69860,039999999994",",000000",",000000",",000000",",000000"
